trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
66,False,"{'a': 0.3, 'e': 0.834}",20,0,-62.21738188769036,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
67,False,"{'a': 0.3, 'e': 0.833}",20,1,-165.75436727648193,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 3}",1
68,False,"{'a': 0.3, 'e': 0.832}",20,0,-32.40673447611597,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
69,False,"{'a': 0.3, 'e': 0.831}",25,0,-77.82147683888694,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
70,False,"{'a': 0.3, 'e': 0.83}",35,13,14.386955223762813,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
71,False,"{'a': 0.3, 'e': 0.829}",25,0,-67.35577856466787,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
72,False,"{'a': 0.3, 'e': 0.828}",20,0,-94.52285680508436,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
73,False,"{'a': 0.3, 'e': 0.827}",30,0,-48.06827250689901,"{0: 22, 1: 1, 2: 7, 3: 0, 4: 0}",0
74,False,"{'a': 0.3, 'e': 0.826}",30,0,-151.75630304595506,"{0: 20, 1: 2, 2: 5, 3: 0, 4: 3}",0
75,False,"{'a': 0.3, 'e': 0.825}",20,0,-84.15606407537626,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
76,False,"{'a': 0.3, 'e': 0.824}",30,0,-80.41433811656262,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
77,False,"{'a': 0.3, 'e': 0.823}",25,0,-65.18449428082583,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
78,False,"{'a': 0.3, 'e': 0.822}",30,0,-144.85393155263694,"{0: 20, 1: 2, 2: 4, 3: 2, 4: 2}",0
79,False,"{'a': 0.3, 'e': 0.821}",20,0,-75.80331487079513,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
80,False,"{'a': 0.3, 'e': 0.82}",30,0,-53.337207571342,"{0: 22, 1: 1, 2: 6, 3: 1, 4: 0}",0
81,False,"{'a': 0.3, 'e': 0.819}",25,0,-2.261091048192988,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
82,False,"{'a': 0.3, 'e': 0.818}",20,0,-33.106544984741575,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
83,False,"{'a': 0.3, 'e': 0.817}",20,1,-93.30254569638318,"{0: 10, 1: 3, 2: 3, 3: 3, 4: 0}",1
84,False,"{'a': 0.3, 'e': 0.816}",25,0,-88.85055492565519,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
85,False,"{'a': 0.3, 'e': 0.815}",20,0,-103.08270720822017,"{0: 9, 1: 6, 2: 4, 3: 0, 4: 1}",0
86,False,"{'a': 0.3, 'e': 0.814}",25,0,-118.08039566704491,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
87,False,"{'a': 0.3, 'e': 0.813}",25,12,-66.46268880605633,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 1}",1
88,False,"{'a': 0.3, 'e': 0.8119999999999999}",20,0,-77.64903618541483,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
89,False,"{'a': 0.3, 'e': 0.8109999999999999}",25,0,-0.41726641911062323,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
90,False,"{'a': 0.3, 'e': 0.8099999999999999}",30,0,-204.29627736190784,"{0: 19, 1: 1, 2: 6, 3: 0, 4: 4}",0
91,False,"{'a': 0.3, 'e': 0.8089999999999999}",20,0,-52.394738311585336,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
92,False,"{'a': 0.3, 'e': 0.8079999999999999}",30,0,-139.7440333621901,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
